# algorithm=k-means++
# SSE=0.079751
# Silhouette=0.185365
# time_ms=94
# representatives:
# cluster 0 -> centro_0 (nearest=imp_378, dist=0.008795)
# cluster 1 -> centro_1 (nearest=imp_237, dist=0.009219)
Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,clusterId
LP001002,0,1,0,0,1,5849,0,,360,1,0,0,0
LP001003,0,0,1,0,1,4583,1508,128,360,1,2,1,1
LP001005,0,0,0,0,0,3000,0,66,360,1,0,0,0
LP001006,0,0,0,1,1,2583,2358,120,360,1,0,0,0
LP001008,0,1,0,0,1,6000,0,141,360,1,0,0,0
LP001011,0,0,2,0,0,5417,4196,267,360,1,0,0,0
LP001013,0,0,0,1,1,2333,1516,95,360,1,0,0,0
LP001014,0,0,3,0,1,3036,2504,158,360,0,1,1,1
LP001018,0,0,2,0,1,4006,1526,168,360,1,0,0,0
LP001020,0,0,1,0,1,12841,10968,349,360,1,1,1,1
LP001024,0,0,2,0,1,3200,700,70,360,1,0,0,0
LP001027,0,0,2,0,,2500,1840,109,360,1,0,0,0
LP001028,0,0,2,0,1,3073,8106,200,360,1,0,0,0
LP001029,0,1,0,0,1,1853,2840,114,360,1,2,1,1
LP001030,0,0,2,0,1,1299,1086,17,120,1,0,0,0
LP001032,0,1,0,0,1,4950,0,125,360,1,0,0,0
LP001034,0,1,1,1,1,3596,0,100,240,,0,0,0
LP001036,1,1,0,0,1,3510,0,76,360,0,0,1,1
LP001038,0,0,0,1,1,4887,0,133,360,1,2,1,1
LP001041,0,0,0,0,,2600,3500,115,,1,0,0,0
LP001043,0,0,0,1,1,7660,0,104,360,0,0,1,1
LP001046,0,0,1,0,1,5955,5625,315,360,1,0,0,0
LP001047,0,0,0,1,1,2600,1911,116,360,0,1,1,1
LP001050,,0,2,1,1,3365,1917,112,360,0,2,1,1
LP001052,0,0,1,0,,3717,2925,151,360,,1,1,1
LP001066,0,0,0,0,0,9560,0,191,360,1,1,0,0
LP001068,0,0,0,0,1,2799,2253,122,360,1,1,0,0
LP001073,0,0,2,1,1,4226,1040,110,360,1,0,0,0
LP001086,0,1,0,1,1,1442,0,35,360,1,0,1,1
LP001087,1,1,2,0,,3750,2083,120,360,1,1,0,0
LP001091,0,0,1,0,,4166,3369,201,360,,0,1,1
LP001095,0,1,0,0,1,3167,0,74,360,1,0,1,1
LP001097,0,1,1,0,0,4692,0,106,360,1,2,1,1
LP001098,0,0,0,0,1,3500,1667,114,360,1,1,0,0
LP001100,0,1,3,0,1,12500,3000,320,360,1,2,1,1
LP001106,0,0,0,0,1,2275,2067,,360,1,0,0,0
LP001109,0,0,0,0,1,1828,1330,100,,0,0,1,1
LP001112,1,0,0,0,1,3667,1459,144,360,1,1,0,0
LP001114,0,1,0,0,1,4166,7210,184,360,1,0,0,0
LP001116,0,1,0,1,1,3748,1668,110,360,1,1,0,0
LP001119,0,1,0,0,1,3600,0,80,360,1,0,1,1
LP001120,0,1,0,0,1,1800,1213,47,360,1,0,0,0
LP001123,0,0,0,0,1,2400,0,75,360,,0,0,0
LP001131,0,0,0,0,1,3941,2336,134,360,1,1,0,0
LP001136,0,0,0,1,0,4695,0,96,,1,0,0,0
LP001137,1,1,0,0,1,3410,0,88,,1,0,0,0
LP001138,0,0,1,0,1,5649,0,44,360,1,0,0,0
LP001144,0,0,0,0,1,5821,0,144,360,1,0,0,0
LP001146,1,0,0,0,1,2645,3440,120,360,0,0,1,1
LP001151,1,1,0,0,1,4000,2275,144,360,1,1,0,0
LP001155,1,0,0,1,1,1928,1644,100,360,1,1,0,0
LP001157,1,1,0,0,1,3086,0,120,360,1,1,0,0
LP001164,1,1,0,0,1,4230,0,112,360,1,1,1,1
LP001179,0,0,2,0,1,4616,0,134,360,1,0,1,1
LP001186,1,0,1,0,0,11500,0,286,360,0,0,1,1
LP001194,0,0,2,0,1,2708,1167,97,360,1,1,0,0
LP001195,0,0,0,0,1,2132,1591,96,360,1,1,0,0
LP001197,0,0,0,0,1,3366,2200,135,360,1,2,1,1
LP001198,0,0,1,0,1,8080,2250,180,360,1,0,0,0
LP001199,0,0,2,1,1,3357,2859,144,360,1,0,0,0
LP001205,0,0,0,0,1,2500,3796,120,360,1,0,0,0
LP001206,0,0,3,0,1,3029,0,99,360,1,0,0,0
LP001207,0,0,0,1,0,2609,3449,165,180,0,2,1,1
LP001213,0,0,1,0,1,4945,0,,360,0,2,1,1
LP001222,1,1,0,0,1,4166,0,116,360,0,1,1,1
LP001225,0,0,0,0,1,5726,4595,258,360,1,1,1,1
LP001228,0,1,0,1,1,3200,2254,126,180,0,0,1,1
LP001233,0,0,1,0,1,10750,0,312,360,1,0,0,0
LP001238,0,0,3,1,0,7100,0,125,60,1,0,0,0
LP001241,1,1,0,0,1,4300,0,136,360,0,1,1,1
LP001243,0,0,0,0,1,3208,3066,172,360,1,0,0,0
LP001245,0,0,2,1,0,1875,1875,97,360,1,1,0,0
LP001248,0,1,0,0,1,3500,0,81,300,1,1,0,0
LP001250,0,0,3,1,1,4755,0,95,,0,1,1,1
LP001253,0,0,3,0,0,5266,1774,187,360,1,1,0,0
LP001255,0,1,0,0,1,3750,0,113,480,1,0,1,1
LP001256,0,1,0,0,1,3750,4750,176,360,1,0,1,1
LP001259,0,0,1,0,0,1000,3022,110,360,1,0,1,1
LP001263,0,0,3,0,1,3167,4000,180,300,0,1,1,1
LP001264,0,0,3,1,0,3333,2166,130,360,,1,0,0
LP001265,1,1,0,0,1,3846,0,111,360,1,1,0,0
LP001266,0,0,1,0,0,2395,0,,360,1,1,0,0
LP001267,1,0,2,0,1,1378,1881,167,360,1,0,1,1
LP001273,0,0,0,0,1,6000,2250,265,360,,1,1,1
LP001275,0,0,1,0,1,3988,0,50,240,1,0,0,0
LP001279,0,1,0,0,1,2366,2531,136,360,1,1,0,0
LP001280,0,0,2,1,1,3333,2000,99,360,,1,0,0
LP001282,0,0,0,0,1,2500,2118,104,360,1,1,0,0
LP001289,0,1,0,0,1,8566,0,210,360,1,0,0,0
LP001310,0,0,0,0,1,5695,4167,175,360,1,1,0,0
LP001316,0,0,0,0,1,2958,2900,131,360,1,1,0,0
LP001318,0,0,2,0,1,6250,5654,188,180,1,1,0,0
LP001319,0,0,2,1,1,3273,1820,81,360,1,0,0,0
LP001322,0,1,0,0,1,4133,0,122,360,1,1,0,0
LP001325,0,1,0,1,1,3620,0,25,120,1,1,0,0
LP001326,0,1,0,0,,6782,0,,360,,0,1,1
LP001327,1,0,0,0,1,2484,2302,137,360,1,1,0,0
LP001333,0,0,0,0,1,1977,997,50,360,1,1,0,0
LP001334,0,0,0,1,1,4188,0,115,180,1,1,0,0
LP001343,0,0,0,0,1,1759,3541,131,360,1,1,0,0
LP001345,0,0,2,1,1,4288,3263,133,180,1,0,0,0
LP001349,0,1,0,0,1,4843,3806,151,360,1,1,0,0
LP001350,0,0,,0,1,13650,0,,360,1,0,0,0
LP001356,0,0,0,0,1,4652,3583,,360,1,1,0,0
LP001357,0,,,0,1,3816,754,160,360,1,0,0,0
LP001367,0,0,1,0,1,3052,1030,100,360,1,0,0,0
LP001369,0,0,2,0,1,11417,1126,225,360,1,0,0,0
LP001370,0,1,0,1,,7333,0,120,360,1,2,1,1
LP001379,0,0,2,0,1,3800,3600,216,360,0,0,1,1
LP001384,0,0,3,1,1,2071,754,94,480,1,1,0,0
LP001385,0,1,0,0,1,5316,0,136,360,1,0,0,0
LP001387,1,0,0,0,,2929,2333,139,360,1,1,0,0
LP001391,0,0,0,1,1,3572,4114,152,,0,2,1,1
LP001392,1,1,1,0,0,7451,0,,360,1,1,0,0
LP001398,0,1,0,0,,5050,0,118,360,1,1,0,0
LP001401,0,0,1,0,1,14583,0,185,180,1,2,0,0
LP001404,1,0,0,0,1,3167,2283,154,360,1,1,0,0
LP001405,0,0,1,0,1,2214,1398,85,360,,0,0,0
LP001421,0,0,0,0,1,5568,2142,175,360,1,2,1,1
LP001422,1,1,0,0,1,10408,0,259,360,1,0,0,0
LP001426,0,0,,0,1,5667,2667,180,360,1,2,0,0
LP001430,1,1,0,0,1,4166,0,44,360,1,1,0,0
LP001431,1,1,0,0,1,2137,8980,137,360,0,1,0,0
LP001432,0,0,2,0,1,2957,0,81,360,1,1,0,0
LP001439,0,0,0,1,1,4300,2014,194,360,1,2,0,0
LP001443,1,1,0,0,1,3692,0,93,360,,2,0,0
LP001448,,0,3,0,1,23803,0,370,360,1,2,0,0
